Classroom_ID,student_ID,studentgender,grade,course,Year,teststarttime,testdurationminutes,test_percentile,growth_percentile
Classroom13,94c1fb00b282419c9fa6aec6b6452f59,M,3,Math K-12,Year2,0.902766204,38,85,
Classroom13,94c1fb00b282419c9fa6aec6b6452f59,M,3,Reading,Year2,0.901574074,37,92,
Classroom13,febc1d381430417c95c62acdef057ef3,M,3,Language Usage,Year2,0.900740741,44,71,
Classroom13,febc1d381430417c95c62acdef057ef3,M,3,Math K-12,Year2,0.902789352,73,68,
Classroom13,febc1d381430417c95c62acdef057ef3,M,3,Reading,Year2,0.901666667,71,53,
Classroom13,446f1e4c38af4da69f84f3298b3e0dd2,F,3,Language Usage,Year2,0.900717593,28,96,
Classroom13,446f1e4c38af4da69f84f3298b3e0dd2,F,3,Math K-12,Year2,0.902708333,29,80,
Classroom13,446f1e4c38af4da69f84f3298b3e0dd2,F,3,Reading,Year2,0.901990741,30,93,
Classroom13,3ca21200b3194a1b8dd095dc67d0336c,F,3,Language Usage,Year2,0.901180556,34,98,
Classroom13,3ca21200b3194a1b8dd095dc67d0336c,F,3,Math K-12,Year2,0.902604167,65,86,
Classroom13,3ca21200b3194a1b8dd095dc67d0336c,F,3,Reading,Year2,0.901666667,40,100,
Classroom13,4916f093f0964a7195cb3516c36d96fe,F,3,Language Usage,Year2,0.902106481,64,53,
Classroom13,4916f093f0964a7195cb3516c36d96fe,F,3,Math K-12,Year2,0.902685185,95,58,
Classroom13,4916f093f0964a7195cb3516c36d96fe,F,3,Reading,Year2,0.903229167,89,63,
Classroom13,cd40dac2c2114361823e72019455b6aa,M,3,Language Usage,Year2,0.901990741,43,60,
Classroom13,cd40dac2c2114361823e72019455b6aa,M,3,Math K-12,Year2,0.904236111,67,39,
Classroom13,cd40dac2c2114361823e72019455b6aa,M,3,Reading,Year2,0.903217593,106,67,
Classroom13,c8d105d40e69414bb50e1ff1a82578a5,M,3,Language Usage,Year2,0.900648148,28,82,
Classroom13,c8d105d40e69414bb50e1ff1a82578a5,M,3,Math K-12,Year2,0.902662037,37,86,
Classroom13,c8d105d40e69414bb50e1ff1a82578a5,M,3,Reading,Year2,0.9015625,51,87,
Classroom13,9a0974ee2bbb4fc3bdb7cd392f730e45,F,3,Language Usage,Year2,0.900752315,25,73,
Classroom13,9a0974ee2bbb4fc3bdb7cd392f730e45,F,3,Math K-12,Year2,0.902731481,43,37,
Classroom13,9a0974ee2bbb4fc3bdb7cd392f730e45,F,3,Reading,Year2,0.901643519,51,68,
Classroom13,2b2c33d606f14e57ad19c262c09ddc76,F,3,Language Usage,Year2,0.900694444,43,81,
Classroom13,2b2c33d606f14e57ad19c262c09ddc76,F,3,Math K-12,Year2,0.902766204,45,82,
Classroom13,2b2c33d606f14e57ad19c262c09ddc76,F,3,Reading,Year2,0.901655093,59,88,
Classroom13,c5d2e6d069254f9fbad54de808e5f11a,M,3,Language Usage,Year2,0.900763889,25,55,
Classroom13,c5d2e6d069254f9fbad54de808e5f11a,M,3,Math K-12,Year2,0.902766204,31,39,
Classroom13,c5d2e6d069254f9fbad54de808e5f11a,M,3,Reading,Year2,0.901631944,48,60,
Classroom13,3455b186e6184b288b5b8bbf4f4b559c,F,3,Language Usage,Year2,0.900706019,24,85,
Classroom13,3455b186e6184b288b5b8bbf4f4b559c,F,3,Math K-12,Year2,0.902766204,33,78,
Classroom13,3455b186e6184b288b5b8bbf4f4b559c,F,3,Reading,Year2,0.901574074,37,88,
Classroom43,402ce5f221b2416da1c01958c7de9b66,F,3,Language Usage,Year2,0.902013889,37,48,
Classroom43,402ce5f221b2416da1c01958c7de9b66,F,3,Math K-12,Year2,0.903252315,44,23,
Classroom43,402ce5f221b2416da1c01958c7de9b66,F,3,Reading,Year2,0.903275463,47,29,
Classroom43,7a84754923d841aa994dc8d774cb6bc6,F,3,Language Usage,Year2,0.903425926,25,88,
Classroom43,7a84754923d841aa994dc8d774cb6bc6,F,3,Math K-12,Year2,0.905659722,57,71,
Classroom43,7a84754923d841aa994dc8d774cb6bc6,F,3,Reading,Year2,0.902488426,45,87,
Classroom43,98ec1d6fb7a64dee975e288905808268,M,3,Language Usage,Year2,0.903252315,32,89,
Classroom43,98ec1d6fb7a64dee975e288905808268,M,3,Math K-12,Year2,0.905706019,49,91,
Classroom43,98ec1d6fb7a64dee975e288905808268,M,3,Reading,Year2,0.9025,47,87,
Classroom43,0080dfcd1da14f7fa8e59f0ac4eae871,F,3,Language Usage,Year2,0.902048611,34,53,
Classroom43,0080dfcd1da14f7fa8e59f0ac4eae871,F,3,Math K-12,Year2,0.903263889,58,41,
Classroom43,0080dfcd1da14f7fa8e59f0ac4eae871,F,3,Reading,Year2,0.903287037,61,53,
